876,@schmidtbi mas nossa vc faz isso com meu coraçãozinho? que pecado	Ruim								
12499,Só tenho um comentário a fazer depois desse episódio Foda de Game Of Thrones: DRACARYS #GOTS07E04 #EpisodioFoda https://t.co/UKb1UIlvEH	Bom								
23303,Neném fico bravo ownnnn https://t.co/wgFt9dQXqB	Ruim								
6342,fala CD	Neutro								
18351,rindo de desespero talvez https://t.co/7Q0SXfv6A0	Ruim								
"3906,""chaos is a leader"	Neutro								
"MINHA FRASE SOCORRO"""	Ruim								
21074,Fico impressionado como as pessoas tratam beleza com critério para inferioridade	Ruim								
"176,""eu achei uma paginas """"santos anti-facistas"""" não creioo aa melhor pagina ahahah to rindo"""	Neutro								
606,I love u more my babe ❤ https://t.co/5S6UPmjhE4	Neutro								
"15878,""@limatss @XadrezVerbal 5- sobre Nova História Crítica"	Neutro								
"desde 2007 (governo Lula) o MEC não recomenda esse livro q fo… https://t.co/axoQNGaoxV"""	Neutro								
3963,era pra mim ter assistido descendentes 2 mais eu dormi demais	Ruim								
3315,kkk https://t.co/z1fpl54rFK	Bom								
"3738,""antes de dormir vou ouvir sorriso maroto e sertanejo e não, não tô apaixonada"""	Bom								
5669,Vo f1 q eu ganho mais	Neutro								
"6405,""Recive all our love and support, now and forever!"	Bom								
"#LPoneFamily #LPfamily #WeareLinkinPark #wearetogether… https://t.co/X6yDs0IXCK"""	Neutro								
1015,@diablereine cheguei à conclusão de q você sabe mais sobre o q ta acontecendo na minha vida q qualquer outra pessoa então sinta-se especial	Bom								
6534,O céu explica tudo	Neutro								
11171,No aguardo de video da Camilla e Jéssica juntas 👍	Bom								
14871,@isaxlopes caralho @bitencourt39 eu nao acredito q tu twittou isso	Ruim								
"1340,""@cinepop @GoodTimeMov estreia no Brasil dia 19 de outubro de 2017,a data foi confirmada pela @ParisFilmes"""	Bom								
7926,Pra te ouvir reclamar das coisas simples que você sempre transforma num problema...	Ruim								
21906,Gostei do meu final de semana ❤️	Bom								
200,harry https://t.co/84LixStJzR	Neutro								
2838,Eu sei que você quer isso tanto quanto eu quero	Bom								
20735,Eu na cozinha https://t.co/TA1sur4kQZ	Ruim								
2299,que saudade do cursinho!!!!!! ❤️	Ruim								
8296,U QUEEEEEEEEEE	Neutro								
5539,aquele momento que vc sente um ciúmes filho da puta sem poder e fica se corroendo por dentro	Ruim								
"19547,""ativando o despertador, que morte"""	Ruim								
"2916,""Eu queria ter a paciência a serenidade q os japoneses tem, é incrível!"""	Ruim								
16432,amanhã só as verdadeiras na porta do amaral	Neutro								
11427,O QUE QUE TA ACONTECENDOOOOOOOOOOOOLOOOOOKKKDFKNDJAKFK	Neutro								
57,Esse Rodrigo é a maior merda que já existiu no futebol	Ruim								
"22450,""minha caneca da alice eh xuxuxinha demais, tomar chazinho fica ate mais top"""	Bom								
"12776,""Que debaixo desse céu. Tudo tem sentido, tem razão e tem porquê"""	Neutro								
10780,tô na minha madrinha	Neutro								
8739,@_rafaelbosco kkkkkkkkkkkkkk bosco casado kkkkkkkkkkkkkkkk	Bom								
54,https://t.co/FqrfMHuKBR	Neutro								
19559,o @ não me quer mais	Neutro								
"12747,""Resultados, notícias, classificações: tudo sobre o fim de semana do futebol americano nacional 💪🏾🇧🇷🏈… https://t.co/mkEmo9RZRH"""	Bom								
"16295,""As gatinha gritando acelera, os polícia gritando derruba"""	Neutro								
"10168,""Do nada vem uma pessoa do meu passado na minha cabeça e eu fico..... tá, e aí? Faço oq? Jesussssssss"""	Neutro								
4823,@LariSrVerissimo ainda bem que tu sentiu a indireta	Bom								
13642,progredindo	Bom								
"10766,""DROGO Ñ PODE MORRER"	Neutro								
"#got #gameofthrones"""	Bom								
23281,volta 8/7 https://t.co/CfGhQqoOg4	Ruim								
22898,Me bja https://t.co/Si4lh6WgrU	Neutro								
1597,Domingo foi sem estresse	Bom								
15021,Que segunda traga um trago	Bom								
"12735,""Me dedicar só á dança.. é isso. Já pensei,repensei,tripensei e vamo q vamo"""	Bom								
3823,Zé Ricardo caiu primeiro https://t.co/7vXrCb5bQb	Neutro								
"10131,""Agora eu sei o motivo do Neymar ir para o PSG, safadenho https://t.co/7VTIxe3SAB"""	Bom								
9392,Se for pra ter guerra então que seja de amor 🎶🎶	Bom								
6859,Adored this is drawing because she demonstrad as my love babe is than pure spirit  and wonderful  that I love so mu… https://t.co/1rCqaen23C	Neutro								
"10193,""ACHO QUE ELE PERCEBEU, PORQUE TEM UM BOTON DO HOSEOK NA MINHA BOLSA E ELE FICOU OLHANDO HSJSGSJSHSUSNSHSHSBSJSH"""	Neutro								
10691,Tadinho do cavalo #GoT7	Ruim								
"19099,""""""loooobinho"""""""	Neutro								
17511,spent the day with the boy	Neutro								
2590,Me mandaram um vídeo que eu to sentada no chão rindo tanto	Bom								
18406,@crisciasantos2 Kkkkkkkk ih ala agr vc virou juíza	Neutro								
5073,@DeisySouza0 hahahah ❤	Neutro								
12435,Deus você és maravilhoso comigo! ❤🙏🏽	Bom								
7914,Como pode essa Colbie Caillat ser tão linda de maravilhosa ? Mds 💘	Bom								
7944,Fico puta c essas coisas mas suave cuzao	Ruim								
"1943,""@danjesus_ escola? se sim, essa é uma das piores fases"""	Neutro								
7884,@gabidosanduaba @cavalierebela vou falar eu tb só p participar	Neutro								
1222,@Flavitati2017 Tem umas maravilhosas..rs	Bom								
"22032,""Podem anotar em seus cadernos. O novo técnico vai manter o Márcio Araújo como titular! "	Neutro								
@Flamengo 	Neutro								
"@iFlamengoNews"""	Neutro								
13628,!!!!!!!!!!!!!!!!!!!!!!!!	Neutro								
888,acabei de lavar o cabelo	Neutro								
23263,Foufa	Neutro								
8514,Eu tô achando que a Missandei é uma traitor...	Neutro								
17718,Pintinho submarino https://t.co/MBC9Cxkp8h	Neutro								
"19805,""Não vem quarta, não vem quinta"""	Neutro								
1435,@_Melegante KKKKKKKK	Bom								
1051,comi tanto hj q quase sai rolando do restaurante	Ruim								
22106,Mano vou ter um negócio qualquer dia desses	Neutro								
2749,vamo dracarys #GameofThrones https://t.co/CtiH8vqNM1	Neutro								
"15676,""@AnaVilarino1 @Lelecoutz No Mercosul com Brasil e Argentina, melhor estar fora."""	Ruim								
21291,Queria ser Bella Thorne https://t.co/DRaU1GY7Xx	Ruim								
"6706,""@lucasgremiofbpa @shadym_m @aleezinhosccp @LucasFa34714633 @chicogarciaa Gremio não vai ganha nada, Novo Hamburgo bateu em vocês"""	Ruim								
16655,quero acordar amanha sabendo q terei minha propria mesa no trabalho caso contrario nem qro acordar	Neutro								
"11185,""Tuitei e saí correndo: pelo bem da série, um dragão tem que morrer. #GameOfThrones"""	Neutro								
"16093,""TWICE, COM CERTEZA A A A https://t.co/vxVGJrNJwz"""	Bom								
15827,Saudades de ver ela na escola 😭😭	Neutro								
18726,Aff sou apx	Ruim								
18176,Eu já tinha visto o episódio mas mano. #DominGOT sendo DominGOT #GameOfThrones #Dracarys	Neutro								
8079,queria ter dinheiro igual tenho paranoias	Neutro								
"10729,""Dilema da minha vida: odeio o Jaime, amo o Jaime, odeio o Jaime #GoTS7"""	Neutro								
11825,Agr fica postando q a outra pessoa n presta e ilude é uma cuzisse pq a outra pessoa n tem culpa se vc acha q todo mundo tem q gosta d vc	Ruim								
"17297,""@RissattoBeatriz pq vc me trata assim "	Neutro								
"af"""	Ruim								
8496,Eu vou dormindo	Neutro								
11155,cubucetapintooo https://t.co/Rh6577qZix	Neutro								
11936,Sem mais bjus de luz #IveteAvontade https://t.co/17fhA9qCtV	Bom								
12177,They are not alone❤#LinkinLove #LPoneFamily #WeAreTogether #LPfamily #AreWithYou @linkinpark @mikeshinoda… https://t.co/lJylgCf72g	Neutro								
1951,https://t.co/KUR4XKDsIV	Neutro								
13745,QUASE TIVE UM TRECO https://t.co/pOgqfwhKUY	Ruim								
6618,esses audio corto meu coração	Neutro								
6795,@fifthsantana Quando as fotos ficarem prontas te mostro	Neutro								
4528,aaaaaaaaaaaaaaaaaaa	Neutro								
"20835,""Ai alguém pergunta o que aconteceu e a pessoa responde """"te falo no whats"""" PRA Q POSTA NO FACE ENTÃO SATANÁS"""	Ruim								
18836,O Lucas e foda	Bom								
22250,tô com fome mas a preguiça de levantar tá grandeee	Ruim								
4270,@alvesssbru @lineemerich_ Quem divide multiplica amigasss	Neutro								
18654,#CamerasEscondidas Ivo assustando o povo com uma cobra de plástico... 😂😂😂😂😂😂😂 #HAHAHAHA @PgmSilvioSantos #ProgramaSilvioSantos @SBTonline.	Bom								
"1928,""vcs tem q entender q não da pra levar NADA do q eu falo nesse site a sério pq ou eu to sendo sarcástica"	Ruim								
									
"ou eu to sendo sarcástica"""	Neutro								
"22377,""Eu sou uma pessoa mto boa de se ter por perto, assumo"""	Bom								
767,To passando mal slc	Ruim								
17528,emesm e	Neutro								
"3008,""Carlos Junior: """"Os sites são importantes, mas é aqui que o negócio acontece"""". Resposta ao Toninho?"""	Neutro								
"15582,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please.🙏🖤 x246"""	Bom								
"6535,""Esse boné da oakley é uma delicia, melhor que o da quilk, acho que vou comprar outra"""	Bom								
13764,Essa temporada de #GOT7 tá foda todos episódios muito bons	Bom								
11904,Pior que tá não fica. O proximo tecnico só precisa manter o 5º lugar no Brasileiro e ganhar a Copa do Brasil e Sulamericana. Molezinha.	Neutro								
5649,agora eu posso comentar que o abraço entre Arya e bran foi bem melhor do que sansa e bran pq eles estão destruindo meu bb?	Neutro								
"4117,""Se tá ✌️ tá calmo, se tá calmo tá lindo kkkkkkk"""	Bom								
5892,MEU DEUSSSSSS O VIDRO DE DRAGÃO	Neutro								
8209,queria fazer uma festa e reunir todos meus amigos	Bom								
3122,O reinado de Cersei calmo e tranquilo ???  What??  #GoT #GameOfThrones	Neutro								
"14840,""Gente, eu fui a única que não curti muito o filme A Bela e a Fera? Prefiro mil vezes o desenho"	Ruim								
" Me julguem..."""	Neutro								
"3832,""vivendo nesse mundo louco, só quero me entregar um pouco e permitir sentir"""	Neutro								
18927,HAHAHAHAHAHAHAHHAHAH ninguém mede o quanto isso fez sentido https://t.co/UyS7EwTXwe	Neutro								
10792,vou ate dormir depois dessa	Bom								
"20152,""@JuliaLima97 @Brangtanzil @Hangulptbr @ArmyDiario @BangtanMozao @LoveYouJoonie vc pode achar abrigo com armys, eu a… https://t.co/8lBu8rXEjd"""	Neutro								
135,i love jaejin	Bom								
"16903,""""""quem eh seu crush?"""" o crush perguntou"""	Neutro								
"11504,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please. x212"""	Bom								
7529,Meu primo contando as historias da Indonésia p mim já vou guardando dinheiro pra ir um dia	Neutro								
4986,EU https://t.co/yoP8M3Ganx	Neutro								
"18596,""Quando o sol amanhece mais brilhante , a brisa do vento sopra suave, o verde das matas fica mais viçoso, quando tudo isso acontece na manhã"""	Bom								
"2400,""Faça um favor, pare de forçar desapego ou indiferença... tu é um bosta desesperado por atenção e fica se fazendo de sonso."""	Ruim								
8642,Meu coração tá doendo tanto	Ruim								
11947,@VtrXavier Sempre soube disso	Neutro								
7411,@juuhprata n abusarei	Bom								
"9777,""de dançar eu entendo, o parceiro é 10, a gente se entende no olhar e nos pés"""	Bom								
22740,@belamaciell eu tbm ué	Neutro								
5078,Ivete podia viver dos hits dela sem ter que lançar novas músicas. Ainda assim seria dona do Brasil!	Bom								
13746,tome vergonha	Ruim								
4519,https://t.co/cP8QhROLRA	Neutro								
9211,@Chandra1Vinod @pantroymunra @7b7f43e61443497 @pabupabupbgv1 @aboalfog @mnoori2004 @YNHallak @SuFernandes68… https://t.co/lf2ZYxNaC0	Bom								
10316,O DROGON TA GIGANTE MEU DEUS #GoTS7	Bom								
22119,Forças Marcos Magario! Deus no controle sempre 👊🙇	Neutro								
"14346,""Não sei o que tá acontecendo comigo, tô gostando de ir pra escola kkkkkkkk"""	Bom								
5404,eu todo santo dia https://t.co/3kUWJBSbYA	Neutro								
"5845,""@showdavida matéria da doação de órgão foi Fantástica ... edição, roteiro, a gratidão a ideia toda em geral é Prêmio vcs vão ver !"""	Bom								
20875,S I M https://t.co/agTfawz9Ma	Neutro								
19788,Queria vc aqui cmg...	Ruim								
"13929,""No fundo eu torci pro Jaime morrer, mas fiquei aliviado quando ele foi salvo (?)"""	Neutro								
3431,Meu Deus https://t.co/oBbD4g21B3	Ruim								
6727,Não tô preparada pra levar uma mochila pesada amanhã cedo	Ruim								
5827,@Eric_Alvesss Um sábio disse uma vez q ''90% da humanidade tem o nível de consciência atrofiada.'' Um país onde ban… https://t.co/QhHDW9Gzgk	Ruim								
18644,Mandem números	Neutro								
"16678,""@larivlopes Ainda tbm! Hahahah e to com raiva q o ep acaba do nadaaa, na tava preparado pra isso hahaha"""	Ruim								
4291,parei de aturar muita coisa que eu aturava antes	Bom								
6409,É tão bom estar com pessoas que fazem questão da sua felicidade!!	Bom								
"22184,""Gosto de gente que me responde rápido, na lata, esse negócio de demorar só me estressa."""	Ruim								
23086,eu AMO ser EU	Bom								
17437,Em embasado então conselho de irmão	Bom								
"7263,""kkkkkkkkkk pedem pra pegar pesado, eu pego pesado, e dps vem falar q é falta de respeito tnc"""	Ruim								
10958,Kkkkk https://t.co/25RRcHsmEo	Neutro								
"19610,""ctz q eu joguei chiclete na cruz,ô dedidi podre"""	Neutro								
10118,Vou ir dormir. Se ficar por aqui vou ter muitos spoiler de got	Bom								
"17352,""Mas é né, tava tudo dando certo d+ e oq é bom dura pouco"""	Ruim								
3846,Bran com as ferraduras em dia. #domingot #GoT #GameOfThrones	Bom								
12689,Um dos melhores eps #gots7	Bom								
630,Nada de fome.. https://t.co/733RCYwtmA	Neutro								
333,plmdds https://t.co/EmYsMS3AJl	Neutro								
"12715,""Insiste em 0 a 0, e eu quero 1 a 1"""	Neutro								
20613,@_arthurvital @netto_lolo ui q medo de vcs	Neutro								
7693,#GameofThrones #HBO 7x03 https://t.co/AzaHfPn88l	Neutro								
15737,ave	Ruim								
14517,@JuliaLima97 @Hangulptbr @ArmyDiario @BangtanMozao @LoveYouJoonie @Brangtanzil Haaa sei... eu já gostava de Kpop qu… https://t.co/IV0LUhynES	Bom								
8849,tá demorando tanto	Ruim								
16687,@LviaMartins18 Bom descanso!	Bom								
4407,a laryssa não sabe como olhar pra ele  kkkkkkkkkkkk	Neutro								
10779,!!!! https://t.co/8LVStmldKQ	Bom								
18877,@igoormm EU NÃO QUERO FAZER MEUS FILHOS PASSAREM POR ESSE NERVOSO NÃO EU TO SEM VOZ	Ruim								
"11961,""MEU"	Neutro								
"DEUS"""	Neutro								
14963,Kkkkkkkkkkk https://t.co/N7CfK5ates	Neutro								
4646,@bo_cross Valeu pelo apoio &lt	Bom								
7197,ESTAMOS ESPERANDO A NOSSA CLASSE POLITICA https://t.co/jjLuUVVONz	Neutro								
"9500,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please. x187"""	Bom								
"17228,""@fridel_ralda @mundodeportivo Então, e você está preocupado?"""	Neutro								
18748,por que eu ainda me importo?	Neutro								
12870,Agora tô vendo a Tia Socorro que mal começou e já tô morrendo de chorar @caldeiraodohuck #globoplay	Neutro								
7512,I like so much both Nutella and my love babe blue eyes Avril Lavigne 😍😍❤️❤️ https://t.co/tipf08OgxN	Neutro								
17373,@marcosmion Ai Mion o Rogério Morgado tá te imitando no Pânico Na Band.	Neutro								
6181,@lopes_luu Qual vai ser o jet?	Neutro								
"17445,""Once in a lifetime, the suffering of fools"""	Neutro								
"4836,""Compre meu livro Pareidolia em https://t.co/LjoTlO0Mcz"	Bom								
									
#GameOfThrones 	Bom								
									
"Só tô aproveitando que a Tag é famosa pra fazer propaganda"""	Bom								
"22335,""""""BLOOD OF THE DRAGON"""" VAI SER O NOME DO PRÓXIMO EP"	Neutro								
"ATENTO NO FIRE AND BLOOD. https://t.co/v6bLMgwLb9"""	Neutro								
21487,Que EP foi esse de GOT ? SLK	Neutro								
"16237,""no shopping cidade São Paulo minha tia quase caiu na escada rolante, mas não kakakaka no Ibira tbem"""	Ruim								
3254,Não entendo porque a @CiaSabesp  corta minha água a 4 anos sempre neste horário. #sabesp #ciasabesp #souburro	Ruim								
16744,@Ela_Ama_Ela Eu hetero? Kkkkkkkkkkkk nop	Neutro								
10223,@greicefarias_ eu nao	Neutro								
21080,Pizzona foi a boa hj	Bom								
8212,@maik_ramalho @NFL_Cantadas Deoxa o rod fora de pancada e ta tudo bem ok? Ok	Bom								
20929,Eu fico com tanta raiva qnd o Guilherme sai com a namorada dele e me deixa no vácuo AAAAAAAAAAAAA	Ruim								
5085,quem eles pensam que são?	Ruim								
5095,Conversar ou não com a pessoa sobre o quão chateada você está com ela?	Ruim								
658,1973 o ano que eu nasci também sabe oque isso significa ... ? que tenho a mesma idade vai Corinthians 😂😂⚽🇧🇷 Parabéns #Fantastico @RedeGlobo	Neutro								
1500,Naaaaaaaao cara é pior que isso	Ruim								
11464,Dracarys #GameOfThrones	Bom								
14042,@Brurondon_ Meu sonho💘	Neutro								
8830,Ultimamente só sinto sono o dia td 😴	Ruim								
14812,Ngm p cvsa	Neutro								
11577,DISGRAAAAAAÇAAAAA #GameofThrones	Neutro								
"13116,""Meus dias sem preocupação acabaram, bora voltar a rotina 💔😭"""	Bom								
19038,É tanta gente falando te amo sem amar... 🤦🏽‍♀️	Ruim								
14380,apaguei todo meu album de fotos tiradas pela camera do meu samsung e nao consigo recuperar por nada	Ruim								
15864,#inarivoltapro@m	Neutro								
16119,@pabllovittar PLS	Neutro								
"5024,""A família de vocês sabem da vontade de serem doadores de órgãos? Espero que sim, se não, avisem! #DoeOrgaos #DoeVidas"""	Neutro								
16509,To morrendo de fome e de sono mds 💔	Ruim								
"4368,""A felicidade é uma palavra de dez letras, mas a minha resume-se em quatro: você!"""	Bom								
14019,Acho que ja vou dormir	Bom								
2437,@sanyanaa @lelemills falei a mesma coisa	Neutro								
6238,inocente rsrsrs	Neutro								
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
							&gt	&gt	 cópia
